Id,Size,Delta,Hue_median,Class
1,10.32969761,10.69,35,A
3,14.61097717,6.62,35,A
4,11.43030167,25.45,37,A
5,10.34418869,21.45,36,B
9,11.62232304,20.09,36,A
10,10.22303295,6.31,38,B
11,11.50737286,8.15,36,B
12,11.98122406,4.34,37,B
13,9.505318642,14.06,36,B
15,8.815760612,35.6,36,B
17,10.35441208,35.06,36,B
18,10.12995815,8.7,36,B
19,9.995178223,2.68,36,B
21,7.143127441,14.65,33,A
22,9.04979229,7.49,37,B
23,6.87695837,15.86,37,B
24,8.893857002,0,35,B
25,7.843923569,9.86,31,B
26,9.261824608,0,35,B
28,6.913755417,9.74,39,C
29,8.468364716,18.47,36,B
30,6.832956314,0,40,C
31,8.682807922,0,38,C
32,8.454514503,42.09,39,C
33,8.148194313,0,40,C
34,6.187187195,0,37,C
35,7.805203915,0,38,C
36,8.083732605,0,41,C
37,7.977537632,0,38,C
38,8.943871498,0,41,C
39,6.212037563,0,39,C
42,6.044809341,0,41,C
43,6.695194244,11.7,39,C
44,7.184642792,12.42,39,C
45,6.593966007,0,41,C
46,8.094232559,3.1,40,C
47,6.89572525,6.14,38,C
48,6.753042698,8.72,40,C
49,9.116634369,8.92,37,B
50,12.01182652,12.73,35,A
51,14.50839901,10.76,37,A
52,14.24122906,10.62,40,A
53,12.73559093,7.3,42,B
54,12.11612701,31.48,42,A
55,15.44620991,7.1,36,B
57,14.11314869,23.76,37,A
58,14.18018436,9.5,38,B
59,11.35628986,9.16,39,B
60,11.9609251,20.38,38,A
61,14.97737122,8.96,39,B
62,11.29558182,23.11,38,A
63,12.75213337,10.09,40,B
64,10.05427456,5.09,35,A
65,11.82641315,14.54,37,A
66,10.94236279,9.75,37,B
